spN,sampleType,samples,algo,keys,collisions,stackingAvg,occupancyRate,occupancyRate_stddev
256,rand-3,40,crc32,37,3,1,0.1622,0.2767
256,rand-3,40,md5,35,5,1,0.2857,0.355
256,rand-3,40,sha1,39,1,1,0.0513,0.1601
256,rand-3,40,fake,34,5,1.2,0.3235,0.4586
256,rand-3,40,ugly1,26,11,1.3,0.9615,0.706
4096,rand-3,60,crc32,60,0,0,0,0
4096,rand-3,60,md5,60,0,0,0,0
4096,rand-3,60,sha1,60,0,0,0,0
4096,rand-3,60,fake,59,1,1,0.0339,0.1302
4096,rand-3,60,ugly1,31,17,1.7,1.5,1.2
4096,rand-3,600,crc32,559,39,1.1,0.1431,0.2743
4096,rand-3,600,md5,559,39,1.1,0.1431,0.2743
4096,rand-3,600,sha1,552,47,1,0.1721,0.2884
4096,rand-3,600,fake,553,45,1,0.1664,0.2918
4096,rand-3,600,ugly1,66,56,9.5,8.9,6.7
4096,rand-3,1800,crc32,1477,292,1.1,0.4164,0.4673
4096,rand-3,1800,md5,1452,301,1.2,0.447,0.5067
4096,rand-3,1800,sha1,1471,280,1.2,0.414,0.4986
4096,rand-3,1800,fake,1446,308,1.1,0.4578,0.5056
4096,rand-3,1800,ugly1,73,67,26,25,19
65536,rand-3,80,crc32,80,0,0,0,0
65536,rand-3,80,md5,79,1,1,0.0253,0.1125
65536,rand-3,80,sha1,80,0,0,0,0
65536,rand-3,80,fake,80,0,0,0,0
65536,rand-3,80,ugly1,41,24,1.6,1.5,1.1
65536,rand-3,800,crc32,793,7,1,0.0177,0.0936
65536,rand-3,800,md5,792,8,1,0.0202,0.1001
65536,rand-3,800,sha1,796,4,1,0.0101,0.0708
65536,rand-3,800,fake,796,4,1,0.0101,0.0708
65536,rand-3,800,ugly1,75,67,11,11,8.2
65536,rand-3,2400,crc32,2366,34,1,0.0287,0.119
65536,rand-3,2400,md5,2363,37,1,0.0313,0.1242
65536,rand-3,2400,sha1,2366,34,1,0.0287,0.119
65536,rand-3,2400,fake,2344,54,1,0.0469,0.1582
65536,rand-3,2400,ugly1,86,82,28,28,22
1048576,rand-3,100,crc32,100,0,0,0,0
1048576,rand-3,100,md5,100,0,0,0,0
1048576,rand-3,100,sha1,100,0,0,0,0
1048576,rand-3,100,fake,100,0,0,0,0
1048576,rand-3,100,ugly1,53,26,1.8,1.4,1.1
1048576,rand-3,1000,crc32,997,3,1,0.006,0.0548
1048576,rand-3,1000,md5,1000,0,0,0,0
1048576,rand-3,1000,sha1,998,2,1,0.004,0.0447
1048576,rand-3,1000,fake,1000,0,0,0,0
